,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,5,6,5,8,8,9,10,11,11,10,10,11,11,12,13,13,15,16,17,18,23,44,61,61,23,19,18,19,19,18,18,18,18,17,17,18,17,15,14,18,25,14,14,15,16,16,16,15,17,17,17,16,17,19,19,21,21,21,20,19,18,18,17,25,25,25,24,25,26,24,23,23,23,23,26,40,56,23,24,23,22,22,22,22,22,22,22,23,24,22,23,25,33,33,26,23,24,25,29,28,29,31,32,32,32,32,33,32,27,27,21,20,22,25,27,28,27,25,26,29,29,28,27,27,26,28,28,29,29,28,29,29,29,29,29,26,30,30,29,28,30,30,30,30,30,30,30,30,30,31,31,31,30,31,30,29,28,29,28,30,30,30,29,28,28,28,29,28,29,28,28,28,28,29,30,25,30,27,26,30,26,26,24,22,27,26,27,28,27,26,24,27,25,26,26,26,28,29,28,25,27,27,25,26,29,27,26,25,25,22,23,26,26,25,26,23,26,26,25,24,24,24,24,21,25,25,24,25,25,25,24,25,24,23,24,25,24,23,23,24,23,23,23,20,19,21,21,20,19,17,16,17,17,17,17,17,17,17,16,17,13,12,11,7,6,5,5,5,4,7,8,8,11,9,12,12,10,10,11,9,9,8,8,6,5,4,2,2,2,4,3,2,0,0,-5,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,1,2,2,5,4,6,8,8,9,9,10,11,11,11,12,12,12,13,13,14,16,17,19,37,63,72,61,19,18,18,18,18,17,17,17,17,17,16,16,18,15,15,16,30,25,13,13,15,16,16,14,15,16,18,16,16,19,20,22,22,21,20,18,18,18,18,22,25,23,23,26,26,26,25,23,22,22,24,25,43,21,23,24,22,22,22,22,22,22,22,23,24,28,26,24,33,36,29,23,24,25,20,22,26,24,28,31,32,32,34,35,29,27,26,22,23,24,24,26,28,27,25,26,29,28,29,26,28,28,27,28,28,28,29,29,30,30,30,29,28,29,30,30,30,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,29,29,26,29,27,28,28,28,27,27,26,26,28,26,27,28,27,28,24,27,29,28,26,27,25,24,22,21,25,24,26,27,27,27,27,25,26,26,25,26,27,25,26,26,24,25,26,30,29,26,26,26,23,23,26,26,26,27,24,25,25,25,25,24,24,24,24,25,26,25,25,26,26,26,26,26,24,23,25,26,25,24,24,23,22,22,20,19,21,21,19,19,20,19,18,18,17,17,16,16,16,14,12,11,11,8,8,5,5,5,4,3,2,4,4,6,6,7,8,8,6,7,8,6,6,5,3,3,2,2,1,1,0,4,3,2,-2,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,3,4,3,4,8,9,9,9,9,8,8,9,10,11,11,12,13,14,15,15,14,16,39,72,73,48,17,16,17,17,17,16,16,16,16,16,17,16,15,16,15,14,13,19,20,14,14,15,16,17,15,15,16,17,17,18,20,22,24,23,22,21,20,19,19,22,22,26,26,26,25,23,23,25,24,22,22,22,26,25,22,24,23,23,24,24,25,26,26,26,26,27,27,20,15,27,29,27,27,29,26,24,19,19,19,22,21,23,29,37,37,36,28,28,27,22,22,25,26,26,27,28,29,28,27,29,28,29,28,27,29,28,28,29,29,30,30,29,27,27,28,30,29,29,30,30,28,28,29,30,28,28,29,29,28,29,28,27,28,28,28,25,27,26,27,25,26,26,26,25,27,25,28,27,27,26,28,26,26,30,25,25,26,23,24,23,25,25,26,26,26,26,26,24,25,25,24,23,25,26,25,25,25,26,26,26,25,28,26,24,23,24,27,28,28,25,25,26,26,26,26,25,25,23,23,26,25,25,27,27,26,27,27,26,26,26,23,23,21,22,23,22,22,21,20,19,20,20,19,18,17,17,15,15,14,13,12,11,10,8,7,6,7,4,4,4,5,5,0,-2,-2,0,-2,-2,0,0,-5,-2,-3,-4,0,0,-3,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,10,11,11,9,8,8,8,8,9,10,11,12,12,13,14,14,14,13,54,69,69,45,16,16,16,16,16,15,15,16,16,16,15,15,15,14,14,13,12,11,25,19,16,14,14,16,18,18,17,16,15,13,16,21,22,23,20,20,21,21,21,21,22,30,26,26,24,23,23,23,23,24,25,23,25,25,23,23,25,26,28,26,26,27,27,26,26,28,29,29,26,23,22,23,26,27,29,30,32,32,19,23,25,27,24,17,28,37,37,28,28,28,28,27,26,27,27,29,29,29,29,29,30,30,30,29,28,28,29,29,28,30,29,30,29,27,27,27,28,28,29,29,30,29,29,27,27,27,27,28,29,29,28,27,27,27,27,27,27,26,26,25,25,27,26,27,27,25,26,28,26,26,26,26,26,24,26,24,26,23,25,25,19,21,23,26,26,27,25,23,24,26,25,23,24,25,25,25,25,24,27,27,27,27,27,25,25,24,28,28,26,26,27,27,27,25,27,25,23,23,25,27,28,27,26,26,24,24,23,24,24,23,23,23,23,22,22,22,22,22,22,21,17,13,14,12,11,11,9,9,8,7,5,1,0,0,-4,0,0,0,0,0,1,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,10,10,9,9,9,10,9,9,10,11,12,12,13,14,14,14,18,28,67,70,46,19,16,15,15,15,14,14,15,15,15,15,15,15,14,14,13,13,12,13,29,19,15,14,15,17,19,19,18,16,15,17,20,21,22,20,18,20,21,21,21,21,30,33,26,23,23,23,23,23,24,25,26,27,24,24,23,25,25,26,26,25,25,26,26,26,28,29,29,28,26,23,21,21,27,28,26,32,33,32,19,21,30,30,21,17,29,36,32,31,28,28,29,26,26,28,29,29,28,29,29,29,30,29,29,30,29,28,29,30,30,30,28,29,28,27,29,29,28,29,29,29,29,28,26,27,27,28,27,28,28,28,27,26,25,28,26,26,25,25,24,24,27,28,28,28,28,26,28,27,28,30,27,26,25,27,23,25,25,25,26,19,19,25,26,26,27,25,23,24,25,25,25,27,26,26,28,25,24,26,27,27,27,28,25,27,25,28,26,26,28,27,26,26,25,26,23,23,26,26,27,27,26,25,25,24,24,23,24,23,22,20,21,21,22,22,22,20,17,14,13,12,10,8,9,7,6,6,1,3,-2,0,0,0,0,0,0,0,0,0,0,0,1,4,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,10,10,9,10,11,12,11,10,12,13,14,13,10,13,14,16,23,28,30,37,36,19,15,16,16,16,15,15,17,16,18,16,15,14,15,15,15,16,16,15,18,16,17,16,12,13,16,18,18,18,18,17,18,21,22,22,21,17,18,19,22,23,23,28,28,26,25,24,23,25,25,25,25,25,26,26,27,29,27,26,26,26,27,25,24,24,25,29,29,29,28,27,25,23,21,33,31,29,28,29,33,27,22,27,32,28,24,22,29,30,29,29,28,28,28,26,30,30,29,29,30,30,30,31,31,31,27,28,29,29,29,28,30,29,30,29,27,27,28,26,27,29,29,28,26,26,26,26,27,28,27,28,27,27,26,25,26,25,24,22,25,24,26,28,27,27,27,26,26,26,29,27,28,24,25,26,24,26,24,25,25,25,25,25,24,25,26,26,24,25,24,25,25,26,27,24,24,26,26,27,27,26,28,25,26,26,29,26,25,27,27,26,26,26,26,25,23,24,26,26,24,25,26,28,27,23,22,22,19,19,21,21,20,20,18,16,13,11,9,8,5,3,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,9,10,10,11,12,12,11,12,13,14,13,13,12,14,19,21,22,23,26,29,28,24,19,18,18,17,17,18,20,21,21,20,19,19,17,16,18,17,19,21,22,19,19,21,16,16,17,18,20,20,21,18,22,23,24,24,28,20,19,22,24,25,26,28,28,24,24,25,25,27,27,27,26,26,28,31,26,18,27,28,29,29,26,25,25,23,22,24,30,30,29,28,28,25,18,21,16,26,27,28,37,30,22,28,31,31,27,24,24,27,28,29,29,29,30,30,28,30,31,30,31,31,31,31,30,30,25,27,29,26,29,29,30,30,29,28,25,25,26,27,29,26,27,25,26,25,25,26,28,27,26,28,29,29,28,28,25,23,22,23,25,25,28,27,26,22,23,28,27,27,28,28,25,25,24,24,25,25,26,25,26,24,24,21,25,25,24,25,25,25,25,24,25,26,27,26,26,26,28,26,26,26,29,28,27,27,25,25,25,25,26,25,24,24,23,25,24,25,23,23,23,22,23,21,22,22,21,21,20,19,18,18,16,8,6,4,3,2,2,2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,7,10,11,11,12,12,11,12,12,13,13,13,13,14,18,20,20,22,25,28,25,23,18,17,17,17,17,12,19,20,21,21,20,22,19,22,20,20,19,19,22,24,19,22,22,20,17,18,20,21,21,21,23,23,24,25,30,25,22,21,23,29,30,31,29,26,24,24,24,27,27,27,28,27,27,31,32,21,17,27,29,30,28,26,27,26,22,23,27,28,30,31,28,28,30,25,14,16,26,27,34,35,30,19,30,30,30,27,26,27,27,29,29,29,30,30,28,29,29,30,30,30,30,30,30,30,29,29,29,27,27,28,28,29,28,27,25,23,27,28,28,26,25,25,24,25,25,26,28,28,26,25,26,30,29,29,26,23,23,24,25,27,28,27,26,25,24,28,29,26,27,26,26,25,23,23,23,25,23,25,24,25,26,24,24,26,24,25,25,25,24,24,25,27,25,26,26,26,24,26,26,28,27,28,27,26,25,25,25,26,26,25,24,25,24,24,24,24,24,23,23,20,22,23,22,21,20,18,19,19,17,14,9,5,4,4,2,2,2,2,-4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,8,10,10,12,12,13,12,12,12,12,12,13,14,18,18,19,22,17,26,27,24,16,14,14,16,16,15,15,16,20,20,20,19,21,24,23,23,21,21,21,24,21,19,23,23,21,19,17,20,21,21,22,23,24,24,23,22,21,21,21,24,30,30,31,31,32,28,28,26,24,25,30,30,30,29,28,30,25,18,13,19,30,31,28,29,30,29,25,24,27,37,36,31,27,28,25,20,21,16,26,33,33,32,22,22,29,29,29,28,28,29,29,30,30,30,30,31,31,30,30,30,30,29,31,30,28,30,28,28,26,26,26,29,27,27,26,26,23,27,31,26,26,24,25,25,23,26,28,27,27,26,25,29,31,31,27,25,23,25,27,27,26,27,25,27,28,29,29,28,24,24,26,25,24,24,24,26,24,26,26,27,27,27,23,26,28,25,24,24,25,26,27,26,27,26,27,26,26,26,29,29,28,25,25,25,26,25,25,25,25,23,21,22,23,25,26,25,24,25,23,24,22,21,19,17,16,15,14,14,9,9,9,7,8,10,12,13,15,19,6,2,1,0,6,1,1,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
