,0,1,2,3,4,5,6,7,8,9
1,0,0,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,0,0,
4,0,0,0,0,0,0,0,0,0,0,
5,0,0,0,0,0,0,0,0,0,0,
6,0,0,0,0,0,0,0,0,0,0,
7,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,0,0,0,0,0,0,
9,0,0,0.003671943,0.05991633,1.5782E-06,0,0,0,0,0.06358985,
10,3.68302E-06,0,0,0,0,0,0,6.67213E-06,0,1.035515E-05,
11,0,0,0,0,0,0,0,0,0,0,
12,0.001357578,0,0.00018305,0.1712573,1.35065E-06,0.000127323,3.35162E-06,1.64468E-05,8.33736E-08,0.1729465,
13,0.01395838,0,0.06828229,0.01258387,4.70043E-06,0.01768445,7.28645E-05,1.82708E-06,0,0.1125884,
14,0,0,0,0,0,0,0,0.01068016,0,0.01068016,
15,0.09402802,0,0.000981112,7.69898E-07,6.03434E-07,0.000721807,2.28889E-07,4.54282E-05,0,0.09577797,
16,0.001810634,0,0.000499357,0.000127373,0.001807045,0.001065173,1.03432E-05,0.02709961,3.2651E-06,0.0324228,
17,0.01343739,0.00088156,0.004925529,6.02776E-06,0.006736258,0.002713653,0.000146637,3.74417E-05,0.004578017,0.03346251,
18,3.06663E-05,0.003901348,0.01145414,9.99131E-05,0.000200984,0.002108022,0.04425697,8.52305E-06,0.01233452,0.07439508,
19,0.01498986,0.002037573,0.004401509,1.93699E-05,0.000272237,0.001640572,0.000168502,2.41169E-06,0.01321768,0.03674971,
20,3.60276E-05,0.000402136,0.00285379,1.16648E-05,0.0017117,0.001040781,0.5129952,5.90127E-06,0.000340712,0.5193979,
21,0.006630788,0.001032957,0.01261594,5.45385E-05,0.001340969,0.000937622,0.000580977,1.45426E-05,0.004426695,0.02763503,
22,0,0,0.1103583,0,1.43929E-05,0.001193237,0.000241937,1.6449E-05,0,0.1118243,
23,0.000886775,0.000245505,0.001183949,8.29246E-06,0.005557426,0.009363308,0.000392417,5.62532E-05,0.000580353,0.01827428,
24,0,2.32472E-05,3.48708E-06,0,0.001604384,2.37122E-06,0.3431788,0,0,0.3448123,
25,0.000134758,0.003003534,0.00728905,7.97384E-08,2.67655E-05,0.00073657,0.325312,2.23268E-06,0.01189663,0.3484016,
26,0.01858943,1.3929E-05,0.001165816,0.000754436,0.00136855,0.000234658,2.96017E-05,1.18048E-05,9.74987E-05,0.02226572,
27,0.004058655,0.005526322,0.02554765,9.89819E-05,0.000235062,0.003991405,0.002492104,9.13232E-05,0.01142798,0.05346948,
28,0.02696318,0.000685131,0.004400553,2.14499E-05,0.001733101,0.001018917,0.00074936,4.70632E-06,0.006469616,0.04204601,
29,0.1271138,0.000314779,0.02935479,0.001657579,0.006460349,0.001319401,0.000383268,2.29597E-05,0.002357845,0.1689848,
30,0.1099706,5.29932E-08,0.008250873,0.000360457,0.02086375,0.000951573,0.000161033,1.45731E-05,3.9215E-06,0.1405768,
31,2.113514E-09,5.215195E-08,2.480277E-07,1.249815E-09,5.537809E-10,3.391274E-08,8.338768E-06,0,1.68771E-07,8.845548E-06,
