;archipelagos;coastal;trawlers
0;-1;-1;-1
1;0;0;0
2;5;5;5
3;10;10;10
4;15;15;15
5;10;10;10
6;5;5;5
7;0;0;0
8;-1;-1;-1
9;-1;-1;-1
10;0;0;0
11;5;5;5
12;10;10;10
13;15;15;15
14;10;10;10
15;5;5;5
16;0;0;0
17;-1;-1;-1
18;-1;-1;-1
19;0;0;0
20;5;5;5
21;10;10;10
22;15;15;15
23;10;10;10
24;5;5;5
25;0;0;0
26;-1;-1;-1
27;-1;-1;-1
28;0;0;0
29;5;5;5
30;10;10;10
31;15;15;15
32;10;10;10
33;5;5;5
34;0;0;0
35;-1;-1;-1
36;-1;-1;-1
37;0;0;0
38;5;5;5
39;10;10;10
40;15;15;15
41;10;10;10
42;5;5;5
43;0;0;0
44;-1;-1;-1
45;-1;-1;-1
46;0;0;0
47;5;5;5
48;10;10;10
49;15;15;15
50;10;10;10
51;5;5;5
52;0;0;0
53;-1;-1;-1
54;-1;-1;-1
55;0;0;0
56;5;5;5
57;10;10;10
